english                    , si                             , hr                           , it                          , de                          , fr                          , es                       , pt
Salted Caramel             , Slana karamela                 , Slana karamela               , Caramello salato            , Gesalzener Karamell         , Caramel salé                , Caramelo salado          , 
Hazelnut                   , Lešnik                         , Lješnjak                     , Nocciola                    , Haselnuss                   , Noisette                    , Avellana                 , 
Milk Chocolate             , Mlečna čokolada                , Mliječna čokolada            , Cioccolato al latte         , Milchschokolade             , Chocolat au lait            , Chocolate con Leche      , 
Lemon (without citric acid), Limona (brez citronske kisline), Limun (bez limunske kiseline), Limone (senza acido citrico), Zitrone (ohne Zitronensäure), Citron (sans acide citrique), Limón (sin ácido cítrico), 
Vanilla nut nougat         , Vanilla nut nougat             , Vanilija-nougat              ,                             , Vanille-Nuss-Nougat         , Nougat aux noix et vanille  , Vainilla nuez nougat     , 
White chocolate cinnamon   , White chocolate cinnamon       , Bijela čokolada-cimet        ,                             , Weiße Schokolade-Zimt       , Chocolat blanc et cannelle  , Chocolate blanco canela  , 
Mango-Passionfruit         , Mango-Pasijonka                , Mango-Marakuja               , Mango-Frutto della passione , Mango-Passionsfrucht        , Mangue-fruit de la passion  , Mango-Maracuyá           , 
Lemon&Lime                 , Limona in Limeta               , Limun&Limeta                 , Limone e limetta            , Zitrone&Limette             , Citron & citron vert        , Limón y lima             , 
Chocolate Caramel          , Chocolate Caramel              , Chocolate Caramel            , Chocolate Caramel           , Schokolade-Karamell         , Chocolat-caramel            , Caramelo chocolate       , 
Coffee-cherry              , Kava-češnja                    , Kava-trešnja                 , Caffé-amarena               , Kaffee-Kirsche              , Café-cerise                 , Café-cereza              , 
Strawberry-Lime            , Jagoda-Limeta                  , Jagoda-Limeta                , Fragola-Limetta             , Erdbeere-Limette            , Fraise-citron vert          , Fresa-lima               , 
Blackcurrent               , Ribez                          , Crni ribiz                   , Ribes nero                  , Schwarze Johannisbeere      , Cassis                      , Grosella negra           , 
Cola                       , Kola                           , Kola                         , Cola                        , Cola                        , Cola                        , Cola                     , 
Coconut-Lime               , Kokos-limeta                   , Kokos-limeta                 , Cocco-Lime                  , Kokosnuss-Limette           , Noix de coco-citron vert    , Coconut-Lime             , 
Cherry-Lemon               , Češnja-limona                  , Višnja-limun                 , Cigliegia-Limone            , Kirsche-Zitrone             , Cerise-citron               , Cherry-Lemon             , 
Blood Orange               , Rdeča pomaranča                , Crvena naranča               , Arancia rossa               , Blutorange                  , Orange rouge                , Naranja sanguina         , 
Citrus                     , Citrus                         , Citrusi                      ,                             , Agrumi                      , Agrumes                     , Cítricos                 , 